,Pais,Sede,Red Social,URL
82,Ecuador,EECUA,Instagram,https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
83,Ecuador,EECUA,Youtube,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
84,"Egypt, Arab Rep.",EEGIP,Facebook,facebook.com/ArgentinaenEgipto
85,"Egypt, Arab Rep.",EEGIP,Instagram,instagram.com/argenegipto/
86,"Egypt, Arab Rep.",EEGIP,Twitter,twitter.com/ARGenEgipto
87,El Salvador,ESALV,Facebook,https://www.facebook.com/ArgentinaEnElSalvador/
88,El Salvador,ESALV,Instagram,https://www.instagram.com/embargenelsalvador/
89,El Salvador,ESALV,Twitter,https://twitter.com/ARGenElSalvador
90,Ethiopia,EETIO,Facebook,https://www.facebook.com/ArgEnEtiopia/
91,Ethiopia,EETIO,Instagram,@ArEthiopia
92,Ethiopia,EETIO,Instagram,https://www.instagram.com/embaargenetiopia/
93,Finland,EFINL,Facebook,www.facebook.com/ArgentinaEnFinlandia/
94,Finland,EFINL,Instagram,www.instagram.com/argenfinlandia/
95,France,EFRAN,Facebook,https://www.facebook.com/ArgentinaEnFrancia/
96,France,EUNES,Facebook,https://www.facebook.com/delegation.argentine/
97,France,EUNES,Twitter,https://twitter.com/ArgentinaUNESCO
98,Germany,CBONN,Facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
99,Germany,CBONN,Instagram,http://www.instagram.com/consulado.argentino.bonn
100,Germany,EALEM,Facebook,https://www.facebook.com/ArgEnAlemania/
101,Greece,EGREC,Facebook,https://www.facebook.com/ArgentinaEnGrecia
102,Greece,EGREC,Youtube,https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured
103,Honduras,EHOND,Instagram,@ArgHonduras
104,Honduras,EHOND,Instagram,@ArgentinaEnHonduras
105,Hungary,EUNGR,Facebook,https://www.facebook.com/ArgentinaEnHungria
106,India,CGMUM,Facebook,https://www.facebook.com/argenmumbai
107,India,CGMUM,Instagram,https://www.instagram.com/argenmumbai
108,India,CGMUM,Twitter,https://twitter.com/cgmum1
109,India,EINDI,Facebook,https://www.facebook.com/ArgentinaEnInd
110,India,EINDI,Instagram,https://www.instagram.com/argentinaenind/
111,India,EINDI,Twitter,https://twitter.com/ArgentinaEnInd
112,Indonesia,EISIA,Instagram,@argentinaindonesia
113,Ireland,EIRLA,Facebook,https://www.facebook.com/ArgentinaEnIrlanda/
114,Ireland,EIRLA,Instagram,https://www.instagram.com/embajadaargentinairlanda
115,Israel,CGTEL,Facebook,https://www.facebook.com/ArgentinaEnIsrael/
116,Israel,EISRA,Facebook,https://www.facebook.com/ArgEnIsrael
117,Israel,EISRA,Twitter,https://twitter.com/argenisrael
118,Italy,CMILA,Facebook,https://www.facebook.com/ConsuladoArgentinoenMilan
119,Italy,CMILA,Instagram,https://www.instagram.com/consuladoargentinoenmilan/
120,Italy,CMILA,Youtube,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ
121,Italy,CROMA,Instagram,@ArgEnRoma
122,Italy,CROMA,Instagram,@consuladoargentinoenroma
123,Italy,EITAL,Facebook,https://es-la.facebook.com/emb.roma/
124,Italy,EITAL,Instagram,https://www.instagram.com/arginitalia/?hl=es
125,Italy,EITAL,Twitter,https://twitter.com/arginitalia?lang=es
126,Italy,EMFAO,Instagram,@ArgenFao
127,Jamaica,EJAMA,Facebook,https://www.facebook.com/ArgentinaEnJamaica/
128,Jamaica,EJAMA,Twitter,https://twitter.com/ARGenJamaica
129,Japan,EJAPO,Facebook,https://www.facebook.com/ArgJapon/?ref=bookmarks
130,Kenya,EKENY,Facebook,www.facebook.com/ArgentinaEnKenia
131,Kenya,EKENY,Instagram,https://www.instagram.com/argenkenya/
132,"Korea, Rep.",ECORE,Facebook,https://www.facebook.com/ArgentinaEnCorea/
133,"Korea, Rep.",ECORE,Instagram,https://www.instagram.com/embajadaargentinaencorea1/?hl=es
134,Kuwait,EKUWA,Facebook,www.facebook.com/ArgentinaenKuwait
135,Malaysia,EMSIA,Facebook,https://www.facebook.com/ArgentinaEnMalasia
136,Mexico,EMEXI,Facebook,https://www.facebook.com/ARGenMexico/
137,Mexico,EMEXI,Instagram,https://www.instagram.com/embargenmexico/
138,Mexico,EMEXI,Twitter,https://twitter.com/@ARGenMexico
139,Mexico,EMEXI,Youtube,https://www.youtube.com/user/EmbaArgenMX
140,Morocco,EMARR,Instagram,https://www.instagram.com/marruecos.embajada/
141,Morocco,EMARR,Twitter,https://twitter.com/ArgMarruecos
142,Mozambique,EMOZA,Facebook,https://www.facebook.com/ArgentinaEnMozambique/
143,Netherlands,EPBAJ,Facebook,https://www.facebook.com/ArgEnPaisesBajos/
144,Netherlands,EPBAJ,Twitter,https://twitter.com/ArgentinaEnPB
145,Nicaragua,ENICA,Instagram,@ArgentinaEnNicaragua
146,Nicaragua,ENICA,Instagram,@argennicaragua
147,Nigeria,ENIGE,Facebook,https://www.facebook.com/ArgentinaEnNigeria/
148,Nigeria,ENIGE,Instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
149,Norway,ENORU,Facebook,https://www.facebook.com/ArgentinaEnNoruega/
150,Norway,ENORU,Instagram,https://www.instagram.com/ARGenNoruega/
151,Pakistan,EPAKI,Twitter,https://twitter.com/EmbajadadeArge1
152,Panama,EPNMA,Instagram,@ArgentinaEnPanama
153,Paraguay,CASUN,Instagram,@ArgentinaEnAsuncion
154,Paraguay,CCEST,Facebook,https://www.facebook.com/ArgEnCiudaddeleste/
155,Paraguay,CCEST,Instagram,https://www.instagram.com/argenciudaddeleste
156,Paraguay,EPARA,Facebook,https://www.facebook.com/embajada.paraguay
157,Paraguay,EPARA,Twitter,https://twitter.com/argenparaguay_
158,Peru,EPERU,Facebook,https://www.facebook.com/ArgentinaEnPeru
159,Peru,EPERU,Twitter,https://twitter.com/Emb_Arg_Peru
