idPais,Nombre,Pbi
TLS,Timor-Leste,2389.2958750343
TTO,Trinidad and Tobago,19629.4653400829
TUN,Tunisia,3747.41939149283
TUR,Turkiye,10674.5041731531
TUV,Tuvalu,5221.53279904243
TZA,Tanzania,1192.76647949219
UGA,Uganda,964.39586947645
UKR,Ukraine,4533.9755859375
URY,Uruguay,20795.0423535553
USA,United States,76329.5822652029
UZB,Uzbekistan,2255.15115496772
VCT,St. Vincent and the Grenadines,9125.32477064743
VNM,Viet Nam,4163.51429874522
VUT,Vanuatu,3231.35129995571
WSM,Samoa,3745.56036746313
XKX,Kosovo,5340.26879794836
YEM,"Yemen, Rep.",650.272218352095
ZAF,South Africa,6766.48125429478
ZMB,Zambia,1456.90157015445
ZWE,Zimbabwe,1676.82148896726
