idSede,idPais,Descripcion
ENORU,NOR,Embajada  en  Noruega
ENZEL,NZL,Embajada  en  Nueva  Zelandia
EOIRS,CHE,Misión  Permanente  ante  los  Organismos  Internacionales  en  Ginebra
EPAKI,PAK,Embajada  en  Pakistán
EPARA,PRY,Embajada  en  Paraguay
EPBAJ,NLD,Embajada  en  Holanda
EPERU,PER,Embajada  en  Perú
EPNMA,PAN,Embajada  en  Panamá
EPOLO,POL,Embajada  en  Polonia
EPORT,PRT,Embajada  en  Portugal
EQATR,QAT,Embajada  en  Qatar
ERICA,CRI,Embajada  en  Costa  Rica
ERUMA,ROU,Embajada  en  Rumania
ERUNI,GRB,Embajada  en  Reino  Unido
ESAFR,ZAF,Embajada  en  Sudáfrica
ESALV,SLV,Embajada  en  El  Salvador
ESENE,SEN,Embajada  en  Senegal
ESERB,SRB,Embajada  en  Serbia
ESING,SGP,Embajada  en  Singapur
ESSED,VAT,Representación  ante  la  Santa  Sede
ESUEC,SWE,Embajada  en  Suecia
ESUIZ,CHE,Embajada  en  Suiza
ESURI,SUR,Embajada  en  Surinam
ETAIL,THA,Embajada  en  Tailandia
ETRIA,AUT,Embajada  en  Austria
ETRIN,TTO,Embajada  en  Trinidad  y  Tobago
ETUNE,TUN,Embajada  en  Túnez
ETURQ,TUR,Embajada  en  Türkiye
EUCRA,UKR,Embajada  en  Ucrania
EUNES,FRA,"Delegación  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Educación, la  Ciencia  y  la  Cultura"
EUNGR,HUN,Embajada  en  Hungría
EURUG,URY,Embajada  en  Uruguay
EVENE,VEN,Embajada  en  Venezuela
EVIET,VNM,Embajada  en  Vietnam
OCCAT,CHN,Oficina  Comercial  y  Cultural  Argentina  en  Taiwán
REPAL,PSE,Oficina  de  Representación  en  el  Estado  de  Palestina
